I1,I2,I3
0.918,0,-0.115
1.38,0.03,-0.365
1.15,0,-0.52
1.15,-0.194,-0.5
1.148,-0.314,-0.4
0.689,-0.441,-0.363
1.378,-0.411,-0.277
1.38,-0.314,-0.273
1.15,-0.381,-0.415
1.38,-0.426,-0.411
1.38,-0.554,-0.416
1.15,-0.643,-0.306
1.15,-0.755,-0.308
0.919,-0.658,-0.242
0.92,-0.583,-0.375
1.15,-0.741,-0.348
0.92,-0.898,-0.184
1.379,-0.785,-0.2
0.92,-0.673,-0.28
1.15,-0.673,-0.392
1.15,-0.785,-0.563
1.38,-0.868,-0.435
0.919,-1.1,-0.293
1.609,-1.414,-0.182
1.379,-1.242,-0.111
1.38,-0.942,-0.194
0.919,-0.898,-0.223
1.38,-0.928,-0.45
1.38,-1.025,-0.521
1.611,-1.474,-0.361
1.148,-1.429,-0.142
1.38,-1.272,-0.171
0.919,-1.07,-0.17
0.46,-1.1,-0.275
1.379,-1.474,-0.455
0.689,-1.399,-0.198
1.15,-1.04,-0.12
0.69,-1.07,-0.199
0.92,-1.316,-0.129
0.689,-1.227,-0.197
1.381,-1.197,-0.067
0.689,-1.197,-0.067
0.689,-1.115,0.021
1.151,-1.115,-0.085
1.15,-0.942,0.023
0.689,-0.755,-0.126
1.15,-0.77,-0.167
1.379,-0.898,-0.166
0.69,-0.913,-0.078
1.38,-0.972,-0.038
0.459,-1.04,-0.103
1.839,-0.868,0.137
1.15,-0.554,0.121
0.92,-0.501,-0.044
1.38,-0.568,-0.195
1.15,-0.741,-0.172
0.92,-0.898,0.017
1.148,-0.913,0.211
1.15,-0.726,0.277
1.15,-0.598,0.197
1.379,-0.299,0.187
1.15,-0.209,0.177
1.379,-0.224,0.054
0.689,-0.082,-0.137
1.15,0.015,-0.173
1.379,0.045,-0.228
1.148,0.045,-0.228
1.15,0.045,-0.275
1.15,0.015,-0.048
1.379,0,-0.093
1.379,-0.022,0.042
1.15,0,-0.002
1.151,0.075,0.266
1.15,0.075,0.133
1.15,0.075,0.223
1.15,0.045,0.347
1.148,0.06,0.369
